run,split,n_test,fraud_rate,pr_auc,pr_auc_lift,roc_auc,precision_at_50_recall,recall_at_1pct_fpr,value_recall_at_50_recall,brier,ece,notes,stamp
baseline-logreg,time (synthetic),12000,0.05325,0.142392814142633,2.674043458077615,0.7085042603123362,0.12284069097888675,0.06572769953051644,0.8220394780557782,0.20517988502979279,0.36821307623231164,11 raw cols + log_amt + hour,2026-08-27T20:40:43
leak-demo-honest,past-only (synthetic),6000,0.050833333333333335,0.15782204837574665,3.1046960336212455,0.7156015486693822,0.12071651090342679,0.08852459016393442,0.8146294454944041,0.2042049765586853,0.37025107893596093,11 raw cols + log_amt + hour,2026-08-27T20:40:43
leak-demo-leaky,saw-the-future (synthetic),6000,0.050833333333333335,0.1685378894142227,3.3154994638863484,0.7249511363145699,0.12428919577579203,0.09180327868852459,0.815487698019106,0.20542456209659576,0.3732539224314193,11 raw cols + log_amt + hour,2026-08-27T20:40:44
lgbm-raw,time (synthetic),16000,0.05425,0.17866264090675005,3.293320569709678,0.7146379144633218,0.12612612612612611,0.0944700460829493,0.7411131740456112,0.1079630812217392,0.1921440588016611,"33 feats, 192 trees",2026-08-27T20:41:11
lgbm-calibrated,time (synthetic),16000,0.05425,0.16258605901098597,2.996978046285456,0.7112567242368539,0.10522120366679952,0.08179723502304148,0.8323558113882512,0.04829278713609941,0.006231297082281084,isotonic on held-out calib slice,2026-08-27T20:41:11
lgbm-raw,time (synthetic),16000,0.05425,0.17866264090675005,3.293320569709678,0.7146379144633218,0.12612612612612611,0.0944700460829493,0.7411131740456112,0.1079630812217392,0.1921440588016611,"33 feats, 192 trees",2026-08-27T20:58:49
lgbm-calibrated,time (synthetic),16000,0.05425,0.16258605901098597,2.996978046285456,0.7112567242368539,0.10522120366679952,0.08179723502304148,0.8323558113882512,0.04829278713609941,0.006231297082281084,isotonic on held-out calib slice,2026-08-27T20:58:49
baseline-logreg,time (ieee-cis),118108,0.034409184813899145,0.13249930650058855,3.8506958888217304,0.7509498185981263,0.11530386426828576,0.09473425196850394,0.48815605113597055,0.1827140897512436,0.3645051217360518,11 raw cols + log_amt + hour,2026-08-27T22:05:04
leak-demo-honest,past-only (ieee-cis),59054,0.033173028075998236,0.12886752536292875,3.884707934038997,0.7511734224426739,0.11407286695378885,0.08626850433894845,0.47762811916009057,0.1833430528640747,0.36629415037360313,11 raw cols + log_amt + hour,2026-08-27T22:05:07
leak-demo-leaky,saw-the-future (ieee-cis),59054,0.033173028075998236,0.1281944721922778,3.8644187651060613,0.7530807242489781,0.11305347901092581,0.08933129147524248,0.470360237771261,0.1842128485441208,0.367192102687003,11 raw cols + log_amt + hour,2026-08-27T22:05:09
lgbm-raw,time (ieee-cis),118108,0.034409184813899145,0.43909636557223775,12.76102203371207,0.875194688032413,0.3627923585074094,0.3764763779527559,0.42223074349870987,0.055145861715946876,0.10727312608378986,"34 feats, 975 trees",2026-08-27T22:07:21
lgbm-calibrated,time (ieee-cis),118108,0.034409184813899145,0.4262875584129169,12.388772379191138,0.8746587700247342,0.333019164310399,0.3516240157480315,0.45045200762560933,0.02438201220452309,0.004258203012303946,isotonic on held-out calib slice,2026-08-27T22:07:21
lgbm-raw,time (ieee-cis),118108,0.034409184813899145,0.48791723423862027,14.179854503310768,0.8802209697624651,0.4082329317269076,0.4104330708661417,0.424107853746423,0.03648520288892365,0.058577654449831526,"380 feats, 1558 trees",2026-08-27T23:02:57
lgbm-calibrated,time (ieee-cis),118108,0.034409184813899145,0.4717839992195111,13.71099030015207,0.87960417357391,0.3924772036474164,0.4005905511811024,0.43313344334738046,0.023371662396354957,0.005308888844604818,isotonic on held-out calib slice,2026-08-27T23:02:57
