TransactionID,TransactionDT,TransactionAmt,card1,card2,card3,card4,card5,card6,addr1,dist1,ProductCD,P_emaildomain,R_emaildomain,C1,C13,C14,D1,D15,M4,DeviceType
3544571,14755418,69.165,11201,103.0,185.0,visa,226.0,debit,,,C,gmail.com,gmail.com,3.0,3.0,2.0,3.0,143.0,M2,mobile
3518419,13989877,200.0,3291,399.0,150.0,american express,118.0,credit,264.0,,H,gmail.com,gmail.com,3.0,0.0,0.0,0.0,,,desktop
3516558,13933326,14.386,5943,130.0,185.0,visa,195.0,debit,,,C,hotmail.com,hotmail.com,199.0,7.0,6.0,146.0,0.0,M2,mobile
3522669,14098117,193.0,15066,170.0,150.0,mastercard,102.0,credit,191.0,17.0,W,hotmail.com,,2.0,3.0,2.0,85.0,85.0,M0,
3577147,15802899,38.414,1164,545.0,185.0,visa,137.0,debit,,,C,gmail.com,gmail.com,12.0,1.0,1.0,0.0,0.0,M2,mobile
3556722,15111817,39.0,12469,360.0,150.0,mastercard,126.0,debit,177.0,18.0,W,yahoo.com,,1.0,10.0,1.0,227.0,642.0,M0,
3521782,14079093,30.95,9500,321.0,150.0,visa,226.0,debit,251.0,1782.0,W,gmail.com,,9.0,13.0,8.0,1.0,447.0,,
3528810,14300795,57.95,7815,161.0,150.0,mastercard,117.0,debit,123.0,173.0,W,hotmail.com,,2.0,15.0,2.0,183.0,303.0,,
3495229,13305785,39.593,3154,408.0,185.0,mastercard,224.0,debit,,,C,gmail.com,gmail.com,32.0,1.0,0.0,9.0,0.0,M2,desktop
3486222,13097568,30.95,6530,206.0,150.0,mastercard,126.0,debit,327.0,0.0,W,,,1.0,11.0,1.0,74.0,75.0,,
3560239,15217845,16.354,14276,177.0,185.0,mastercard,137.0,credit,,,C,hotmail.com,hotmail.com,28.0,2.0,2.0,0.0,0.0,M0,desktop
3523525,14143712,13.464,4436,174.0,150.0,visa,226.0,debit,,,C,hotmail.com,hotmail.com,201.0,7.0,6.0,0.0,0.0,M0,desktop
3491830,13214181,20.0,16075,514.0,150.0,mastercard,102.0,credit,441.0,,S,,gmail.com,3.0,42.0,3.0,94.0,75.0,,desktop
3524095,14153814,24.346,9633,130.0,185.0,visa,138.0,debit,,,C,gmail.com,gmail.com,6.0,1.0,1.0,1.0,0.0,M2,mobile
3503866,13543634,146.0,10486,514.0,150.0,mastercard,219.0,credit,204.0,1.0,W,comcast.net,,3.0,4.0,1.0,46.0,32.0,M0,
3495045,13302675,14.325,12184,440.0,185.0,visa,138.0,debit,,,C,outlook.com,outlook.com,43.0,2.0,2.0,0.0,269.0,M2,desktop
3527732,14252436,23.95,12705,298.0,150.0,visa,226.0,debit,191.0,0.0,W,,,4.0,27.0,3.0,0.0,410.0,,
3460474,12241845,178.0,8335,532.0,150.0,mastercard,224.0,debit,315.0,859.0,W,aol.com,,2.0,14.0,1.0,0.0,150.0,M0,
3572133,15640005,275.0,11839,490.0,150.0,visa,226.0,debit,123.0,,R,gmail.com,gmail.com,3.0,0.0,0.0,0.0,,,mobile
3560136,15215382,16.354,5812,408.0,185.0,mastercard,224.0,debit,,,C,hotmail.com,hotmail.com,22.0,2.0,2.0,33.0,0.0,M0,desktop
3572226,15641678,250.0,7664,490.0,150.0,visa,226.0,debit,264.0,,R,gmail.com,gmail.com,5.0,0.0,0.0,0.0,,,mobile
3577007,15800014,200.0,18337,555.0,150.0,visa,226.0,debit,428.0,,R,yahoo.com,yahoo.com,5.0,0.0,0.0,0.0,,,desktop
3492690,13231519,57.95,18132,567.0,150.0,mastercard,117.0,debit,204.0,,W,,,2.0,10.0,2.0,514.0,514.0,,
3557782,15162685,107.95,2803,100.0,150.0,visa,226.0,debit,272.0,13.0,W,,,2.0,8.0,2.0,53.0,144.0,,
3559453,15199990,117.0,18343,374.0,150.0,visa,226.0,debit,327.0,2.0,W,yahoo.com,,2.0,27.0,2.0,196.0,652.0,M1,
